2025-11-06 20:45:51; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:46:11; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:46:31; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:46:51; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:47:20; cliente=ss; conductor=ll; origen=Parque; destino=Hospital; status=Completado
2025-11-06 20:47:40; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:48:00; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:48:20; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:48:40; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:49:00; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:49:20; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:49:40; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:50:00; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:50:20; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:50:40; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:51:00; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:51:20; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:51:40; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:52:00; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:54:57; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:55:17; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:57:53; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:58:13; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:58:33; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:58:53; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:59:13; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:59:33; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 20:59:53; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 21:00:13; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 21:00:33; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 21:00:53; cliente=ss; conductor=ninguno; origen=Parque; destino=Hospital; status=Expirado
2025-11-06 21:06:51; cliente=ss; conductor=ll; origen=Centro; destino=Parque; status=Completado
2025-11-06 21:07:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:08:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:09:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:10:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:11:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:12:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:13:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:14:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:15:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:16:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:17:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:18:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:19:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:20:51; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:23:36; cliente=ss; conductor=ll; origen=Centro; destino=Hospital; status=Completado
2025-11-06 21:31:09; cliente=ss; conductor=ninguno; origen=Centro; destino=Parque; status=Expirado
2025-11-06 21:32:57; cliente=ss; conductor=ll; origen=Centro; destino=Parque; status=Completado
